Name,Age,Nationality
L. Messi,31,Argentina
Cristiano Ronaldo,33,Portugal
Neymar Jr,26,Brazil
De Gea,27,Spain
K. De Bruyne,27,Belgium
E. Hazard,27,Belgium
L. Modrić,32,Croatia
L. Suárez,31,Uruguay
Sergio Ramos,32,Spain
J. Oblak,25,Slovenia
R. Lewandowski,29,Poland
T. Kroos,28,Germany
D. Godín,32,Uruguay
David Silva,32,Spain
N. Kanté,27,France
P. Dybala,24,Argentina
H. Kane,24,England
A. Griezmann,27,France
M. ter Stegen,26,Germany
T. Courtois,26,Belgium
Sergio Busquets,29,Spain
E. Cavani,31,Uruguay
M. Neuer,32,Germany
S. Agüero,30,Argentina
G. Chiellini,33,Italy
K. Mbappé,19,France
M. Salah,26,Egypt
Casemiro,26,Brazil
J. Rodríguez,26,Colombia
L. Insigne,27,Italy
Isco,26,Spain
C. Eriksen,26,Denmark
Coutinho,26,Brazil
P. Aubameyang,29,Gabon
M. Hummels,29,Germany
Marcelo,30,Brazil
G. Bale,28,Wales
H. Lloris,31,France
G. Higuaín,30,Argentina
Thiago Silva,33,Brazil
S. Handanovič,33,Slovenia
G. Buffon,40,Italy
S. Umtiti,24,France
M. Icardi,25,Argentina
K. Koulibaly,27,Senegal
P. Pogba,25,France
K. Navas,31,Costa Rica
R. Lukaku,25,Belgium
C. Immobile,28,Italy
Jordi Alba,29,Spain
D. Mertens,31,Belgium
J. Vertonghen,31,Belgium
M. Hamšík,30,Slovakia
I. Rakitić,30,Croatia
Piqué,31,Spain
L. Sané,22,Germany
Bernardo Silva,23,Portugal
Ederson,24,Brazil
S. Mané,26,Senegal
V. van Dijk,26,Netherlands
R. Sterling,23,England
Roberto Firmino,26,Brazil
R. Varane,25,France
M. Verratti,25,Italy
Alex Sandro,27,Brazil
Douglas Costa,27,Brazil
T. Müller,28,Germany
Thiago,27,Spain
M. Reus,29,Germany
Azpilicueta,28,Spain
L. Bonucci,31,Italy
T. Alderweireld,29,Belgium
M. Pjanić,28,Bosnia Herzegovina
M. Benatia,31,Morocco
M. Özil,29,Germany
Fernandinho,33,Brazil
Iniesta,34,Spain
M. Škriniar,23,Slovakia
S. Milinković-Savić,23,Serbia
Marco Asensio,22,Spain
N. Fekir,24,France
Alisson,25,Brazil
J. Kimmich,23,Germany
Saúl,23,Spain
R. Mahrez,27,Algeria
D. Alaba,26,Austria
Koke,26,Spain
A. Lacazette,27,France
K. Manolas,27,Greece
N. Otamendi,30,Argentina
Parejo,29,Spain
Paulinho,29,Brazil
W. Szczęsny,28,Poland
A. Sánchez,29,Chile
Y. Brahimi,28,Algeria
J. Boateng,29,Germany
A. Vidal,31,Chile
I. Perišić,29,Croatia
E. Džeko,32,Bosnia Herzegovina
S. Khedira,31,Germany
Diego Costa,29,Spain
R. Nainggolan,30,Belgium
Naldo,35,Brazil
B. Matuidi,31,France
Miranda,33,Brazil
K. Benzema,30,France
Filipe Luís,32,Brazil
V. Kompany,32,Belgium
Pepe,35,Portugal
Z. Ibrahimović,36,Sweden
D. Sánchez,22,Colombia
J. Giménez,23,Uruguay
Alex Telles,25,Brazil
A. Laporte,24,France
Bruno Fernandes,23,Portugal
N. Süle,22,Germany
A. Martial,22,France
D. Alli,22,England
Fabinho,24,Brazil
Marquinhos,24,Brazil
William Carvalho,26,Portugal
Jorginho,26,Italy
F. Thauvin,25,France
Carvajal,26,Spain
M. Depay,24,Netherlands
H. Son,25,Korea Republic
A. Lopes,27,Portugal
S. de Vrij,26,Netherlands
M. Perin,25,Italy
J. Cuadrado,30,Colombia
Iago Aspas,30,Spain
B. Leno,26,Germany
N. Matić,29,Serbia
L. Hrádecký,28,Finland
Illarramendi,28,Spain
K. Walker,28,England
I. Gündoğan,27,Germany
José Callejón,31,Spain
A. Di María,30,Argentina
M. Mandžukić,32,Croatia
Willian,29,Brazil
Sergio Asenjo,29,Spain
E. Banega,30,Argentina
A. Witsel,29,Belgium
D. Payet,31,France
Jonas,34,Brazil
Sokratis,30,Greece
S. Ruffier,31,France
Falcao,32,Colombia
K. Schmeichel,31,Denmark
Raúl Albiol,32,Spain
A. Gómez,30,Argentina
A. Barzagli,37,Italy
Quaresma,34,Portugal
A. Robben,34,Netherlands
O. Dembélé,21,France
Gabriel Jesus,21,Brazil
Ronaldo Cabrais,26,Brazil
Josué Chiamulera,26,Brazil
Louri Beretta,26,Brazil
P. Kimpembe,22,France
N. Keïta,23,Guinea
C. Tolisso,23,France
T. Lemar,22,France
K. Coman,22,France
J. Tah,22,Germany
Anderson Talisca,24,Brazil
T. Werner,22,Germany
A. Rabiot,23,France
L. Goretzka,23,Germany
Q. Promes,26,Netherlands
H. Ziyech,25,Morocco
Lucas Vázquez,27,Spain
Y. Carrasco,24,Belgium
Gerard Moreno,26,Spain
Felipe,29,Brazil
M. Kovačić,24,Croatia
Kepa,23,Spain
Manu Trigueros,26,Spain
S. Gnabry,22,Germany
J. Pickford,24,England
S. Savić,27,Montenegro
J. Stones,24,England
