Name,Medal
A Dijiang,0
A Lamusi,0
A. Aanantha Sambu Mayavo,0
A. Abdul Razzak,0
A. Brun,0
A. Buydens,0
A. Charles Six,0
A. Christory,0
A. Darnis,0
A. Duponcheel,0
A. E. Page,0
A. G. Chagale,0
A. Germaine Golding (Regnier-),0
A. Godinat,0
A. Hurtado Vargas,0
A. Hussain Ahmed,0
A. J. J. Fridt,0
"A. J. Tyronne Benildus ""Benny"" Fernando",0
A. Kordonis,0
A. Laffen,0
A. Lafontaine,0
"A. Lambrecht, Jr.",0
A. O. Pinner,0
A. Papadakis,0
A. Porcher,0
A. Priftis,0
A. Roger,0
A. S. Harley,0
A. Sattar Basheer,0
A. Schmitt,0
A. Tark Erilmez,0
A. Tryfiatis-Trypiapis,0
A. V. Ford,0
"A. W. Nancy ""Nan"" Rae",0
A. Wynne Rogers,0
A. de Romigny,0
A. efik,0
Aa Bela Joaquim,0
Aadam Ismaeel Khamis,0
Aadjijatmiko Finarsih H.,0
Aadolf Fredrik Svanstrm,0
Aafke Hament,0
Aage Albert Leidersdorff,0
Aage Avaldorff Meyer,0
Aage Berntsen,0
Aage Brge Poulsen,0
Aage Carl Christian Lassen,0
Aage Emil Brix,0
Aage Emil Kirkegaard,0
Aage Even Hellstrm,0
Aage Heimann,0
Aage Hermann,0
Aage Justesen,0
Aage Myhrvold,0
Aage Nielsen-Edwin,0
Aage Rasmussen (-Remfeldt),0
Aage Rubk-Nielsen,0
Aage Sigfried Madsen,0
Aage Torstein Wetteland Steen,0
Aage Ulrik Jensen,0
Aage Vilhelm Holm,0
Aagje Vanwalleghem,0
Aagot Norman,0
"Aaltje Grietje ""Alie"" Boorsma",0
"Aapeli Richard ""Riku"" Korhonen",0
Aapo Kustaa Perko,0
Aarik Wilson,0
Aarn Galindo Rubio,0
Aarn Sarmiento Padilla,0
"Aarne Aatami ""Arvo"" Peussa",0
Aarne Alexander Roine,0
Aarne Eino Henrik Vehkonen,0
Aarne Erik Kallberg,0
Aarne Frithiof Louis Castrn,0
Aarne Kainlauri,0
Aarne Ulf Kristian Lindroos,0
Aarne Vin Edward Honkavaara,0
"Aarno Aksel ""Arno"" Almqvist",0
Aaro Kullervo Kiviper (Dahlberg-),0
Aaron Arthur Cook,0
Aaron Benjamin Herman,0
Aaron Blunck,0
Aaron Cleare,0
Aaron Duane Olson,0
Aaron Dupnai,0
Aaron E. Pollock,0
Aaron Feltham,0
Aaron Fernandes,0
"Aaron J. ""AJ"" Bear",0
Aaron James Ramsey,0
Aaron James Scott,0
Aaron John Royle,0
Aaron Kenneth Myette,0
Aaron Lowe,0
Aaron March,0
Aaron Parchem,0
Aaron Popoola,0
Aaron Ramirez,0
Aaron Teboho Mokoena,0
Aaron Younger,0
Aart Josephus van Wilgenburg,0
Aart Vierhouten,0
"Aartje Johanna ""Atie"" Voorbij (-Dorresteijn)",0
"Aase Lundsteen (-Madsen, -Hoffman-Madsen)",0
Aatos Ensio Lehtonen,0
Aatos Martin Hirvisalo,0
Aatto Johannes Nuora,0
Aatto Johannes Pietikinen,0
Aauri Lorena Bokesa Abia,0
Ababel Yeshaneh Birhane,0
Abadi Hadis Embaye,0
Abas Ismaili,0
Abbas Ahmad,0
Abbas Al-Harbi,0
Abbas Al-Qaisoum,0
Abbas Dabbaghi Souraki,0
Abbas Fallah,0
Abbas Haj Kenari,0
Abbas Hariri,0
Abbas Khamis,0
Abbas Mohamed,0
Abbas Murshid Al-Aibi,0
Abbas Qali,0
Abbas Saeidi Tanha,0
Abbas Samimi,0
Abbas Talebi,0
Abbas Zandi,0
Abbas Zeghayer,0
Abbes Harchi,0
Abbo Dias Bartolomeu,0
Abbondio Marcelli,0
Abbondio Smerghetto,0
Abbos Rakhmonov,0
Abbubaker Mobara,0
Abby May Erceg,0
Abclvio Rodrigues,0
Abdal Salam Al-Dabaji,0
Abdalelah Haroun Hassan,0
Abdalla Abdelgadir El-Sheikh,0
Abdalla Ahmed,0
Abdalla Al-Sebaei,0
Abdalla Ali Mohamed,0
Abdalla Yousif,0
Abdallah Al-Sidani,0
Abdallah Gazi,0
Abdallah Juma,0
Abdallah Lahoucine,0
Abdallah Zohdy,0
Abdel Ali Kasbane,0
Abdel Ali Zahraoui,0
Abdel Amid Boutefnouchet,0
Abdel Atif Bakir,0
Abdel Atif Bergheul,0
Abdel Azim Sayed Mohamed,0
Abdel Aziz Ben Abdallah,0
Abdel Aziz Boukar Boukar Moussa,0
Abdel Aziz Boulehia,0
Abdel Aziz Bousarsar,0
Abdel Aziz Derbal,0
Abdel Aziz Essafoui,0
Abdel Aziz Fahmi El-Shafei,0
Abdel Aziz Hammi,0
Abdel Aziz Khalid Al-Anjri,0
Abdel Aziz Mehelba,0
Abdel Aziz Merzougui Noureddine,0
Abdel Aziz Mohamed Kabil,0
Abdel Aziz Sahre,0
Abdel Aziz Tahir,0
Abdel Aziz Zaibi,0
Abdel Djalil Bouanani,0
Abdel Fattah Abou-Shanab,0
Abdel Fattah El-Khattari,0
Abdel Fattah Jafri,0
Abdel Fattah Mohamed Essawi,0
Abdel Fattah Sayed Ibrahim,0
Abdel Galil Ahmed Hamza Hemueda,0
Abdel Ghani El-Mansouri,0
Abdel Ghani Guriguer,0
Abdel Ghani Loukil,0
Abdel Hadi Ahmed El-Gazzar,0
Abdel Hadj Khallaf Allah,0
Abdel Hakim Djaziri,0
Abdel Hakim Harkat,0
Abdel Halim Younis Hassan,0
Abdel Hamed El-Hadi,0
Abdel Hamid El-Wassimy,0
Abdel Hamid Fouad Gad,0
Abdel Hamid Hamdi,0
Abdel Hamid Khamis,0
Abdel Hamid Sahil,0
Abdel Hamid Slimani,0
Abdel Hamid Yacout,0
Abdel Hani Kenzi,0
Abdel Jabbar Bel Gnaoui,0
Abdel Jebahi,0
Abdel Kader Ahmed Rabieh,0
Abdel Kader Belghiti,0
Abdel Kader Ben Kamel,0
Abdel Kader Chkhmani,0
Abdel Kader El-Mouaziz,0
Abdel Kader Gangani,0
Abdel Kader Klouchi,0
Abdel Kader Mohamed,0
Abdel Kader Morchid,0
Abdel Kader Moukhtatif,0
Abdel Kader Zaddem,0
Abdel Khadr El-Sayed El-Touni,0
Abdel Khlik Abou El-Yazi,0
Abdel Krim Ben Djemil,0
Abdel Krim El-Hadrioui,0
Abdel Krim Hamiche,0
Abdel Latif Abdel Latif,0
Abdel Latif Ahmed,0
Abdel Latif Fatihi,0
Abdel Latif Khalaf,0
Abdel Latif Metwalli,0
Abdel Madjid Mada,0
Abdel Madjid Slimani,0
Abdel Majid Al-Dolmy,0
Abdel Majid Hadry,0
Abdel Majid Lamris,0
Abdel Majid Moncef,0
Abdel Majid Salah Naji,0
Abdel Majid Senoussi,0
Abdel Malek El-Aouad,0
Abdel Manaane Yahiaoui,0
Abdel Mohsen Saad,0
Abdel Moneim Mokhtar,0
Abdel Moneim Wahibi Hassanein,0
Abdel Monem El-Husseini,0
Abdel Monem Salem,0
Abdel Nabi El-Sayed Mahran,0
Abdel Nasser El-Oulabi,0
Abdel Ouahed Idrissi Chorfi,0
Abdel Rahman Al-Kaaki,0
Abdel Rahman Hafez Ismail,0
Abdel Rahman Massad Saleh,0
Abdel Rahman Salah Orabi Abdelgawwad,0
Abdel Razek Ibrahim,0
Abdel Razzak Bounour,0
Abdel Salam Hamdy,0
Abdel Salem Ben Magh Soula,0
Abdel Salem El-Ghrissi,0
Abdel Sattar Abdel Hadj,0
Abdel Sattar Tarabulsi,0
Abdel Vares Sharraf,0
Abdel Wahab Abdullah Salih,0
