"ID";"Bronnen";"Perioden";"CO2_1";"CH4_2";"N2O_3"
"0";"T001176  ";"1990JJ00";"  163120";" 1278.17";"   59.49"
"1";"T001176  ";"1995JJ00";"  173520";" 1192.41";"   59.84"
"2";"T001176  ";"2000JJ00";"  172290";"  975.64";"   53.01"
"3";"T001176  ";"2001JJ00";"  177390";"  949.16";"   49.71"
"4";"T001176  ";"2002JJ00";"  176670";"  904.27";"   47.01"
"5";"T001176  ";"2003JJ00";"  180090";"  874.05";"   46.59"
"6";"T001176  ";"2004JJ00";"  181710";"  856.72";"   48.08"
"7";"T001176  ";"2005JJ00";"  177800";"  800.50";"   47.76"
"8";"T001176  ";"2006JJ00";"  173000";"  783.83";"   47.58"
"9";"T001176  ";"2007JJ00";"  172860";"  786.81";"   42.03"
"10";"T001176  ";"2008JJ00";"  175770";"  795.75";"   29.36"
"11";"T001176  ";"2009JJ00";"  170410";"  785.77";"   28.66"
"12";"T001176  ";"2010JJ00";"  182440";"  783.90";"   27.67"
"13";"T001176  ";"2011JJ00";"  169370";"  761.25";"   27.04"
"14";"T001176  ";"2012JJ00";"  166130";"  746.01";"   26.43"
"15";"T001176  ";"2013JJ00";"  166020";"  745.28";"   27.11"
"16";"T001176  ";"2014JJ00";"  158870";"  729.39";"   27.50"
"17";"T001176  ";"2015JJ00";"  166870";"  737.37";"   28.42"
"18";"T001176  ";"2016JJ00";"  167040";"  743.46";"   27.57"
"19";"T001176  ";"2017JJ00";"  165190";"  718.96";"   29.04"
"20";"A025447  ";"1990JJ00";"  131190";" 1269.98";"   59.07"
"21";"A025447  ";"1995JJ00";"  138660";" 1186.59";"   58.91"
"22";"A025447  ";"2000JJ00";"  134830";"  971.47";"   51.99"
"23";"A025447  ";"2001JJ00";"  139660";"  945.11";"   48.70"
"24";"A025447  ";"2002JJ00";"  138540";"  900.33";"   46.00"
"25";"A025447  ";"2003JJ00";"  141610";"  870.25";"   45.61"
"26";"A025447  ";"2004JJ00";"  142780";"  853.16";"   47.12"
"27";"A025447  ";"2005JJ00";"  138570";"  797.04";"   46.84"
"28";"A025447  ";"2006JJ00";"  132970";"  780.41";"   46.67"
"29";"A025447  ";"2007JJ00";"  133910";"  783.41";"   41.10"
"30";"A025447  ";"2008JJ00";"  136580";"  792.38";"   28.41"
"31";"A025447  ";"2009JJ00";"  132840";"  782.55";"   27.73"
"32";"A025447  ";"2010JJ00";"  144120";"  780.80";"   26.72"
"33";"A025447  ";"2011JJ00";"  131170";"  758.21";"   26.08"
"34";"A025447  ";"2012JJ00";"  129800";"  743.17";"   25.50"
"35";"A025447  ";"2013JJ00";"  130480";"  742.53";"   26.17"
"36";"A025447  ";"2014JJ00";"  125480";"  726.78";"   26.62"
"37";"A025447  ";"2015JJ00";"  132980";"  734.75";"   27.53"
"38";"A025447  ";"2016JJ00";"  132980";"  740.88";"   26.69"
"39";"A025447  ";"2017JJ00";"  130590";"  716.38";"   28.13"
"40";"800044   ";"1990JJ00";"   52810";"   80.02";"    0.42"
"41";"800044   ";"1995JJ00";"   61240";"   80.16";"    0.46"
"42";"800044   ";"2000JJ00";"   62590";"   41.16";"    0.42"
"43";"800044   ";"2001JJ00";"   66500";"   40.87";"    0.46"
"44";"800044   ";"2002JJ00";"   66570";"   39.41";"    0.48"
"45";"800044   ";"2003JJ00";"   67760";"   38.84";"    0.48"
"46";"800044   ";"2004JJ00";"   68970";"   37.29";"    0.49"
"47";"800044   ";"2005JJ00";"   66400";"   40.07";"    0.54"
"48";"800044   ";"2006JJ00";"   61280";"   36.27";"    0.50"
"49";"800044   ";"2007JJ00";"   63930";"   38.74";"    0.52"
"50";"800044   ";"2008JJ00";"   63530";"   40.35";"    0.49"
"51";"800044   ";"2009JJ00";"   62410";"   35.37";"    0.50"
"52";"800044   ";"2010JJ00";"   64470";"   38.54";"    0.51"
"53";"800044   ";"2011JJ00";"   60400";"   38.88";"    0.48"
"54";"800044   ";"2012JJ00";"   57230";"   36.33";"    0.51"
"55";"800044   ";"2013JJ00";"   57200";"   32.75";"    0.49"
"56";"800044   ";"2014JJ00";"   61220";"   31.68";"    0.52"
"57";"800044   ";"2015JJ00";"   66080";"   30.07";"    0.62"
"58";"800044   ";"2016JJ00";"   64190";"   28.31";"    0.59"
"59";"800044   ";"2017JJ00";"   60180";"   26.16";"    0.52"
"60";"305800   ";"1990JJ00";"    1960";"   60.51";"    0.00"
"61";"305800   ";"1995JJ00";"    1730";"   60.56";"    0.00"
"62";"305800   ";"2000JJ00";"    1770";"   21.85";"    0.00"
"63";"305800   ";"2001JJ00";"    1770";"   21.34";"    0.00"
"64";"305800   ";"2002JJ00";"    1840";"   18.07";"    0.00"
"65";"305800   ";"2003JJ00";"    1710";"   17.65";"    0.00"
"66";"305800   ";"2004JJ00";"    1710";"   15.45";"    0.00"
"67";"305800   ";"2005JJ00";"    1790";"   17.56";"    0.00"
"68";"305800   ";"2006JJ00";"    1710";"   14.63";"    0.00"
"69";"305800   ";"2007JJ00";"    1690";"   17.30";"    0.03"
"70";"305800   ";"2008JJ00";"    1700";"   19.05";"    0.03"
"71";"305800   ";"2009JJ00";"    1760";"   13.25";"    0.02"
"72";"305800   ";"2010JJ00";"    1840";"   16.00";"    0.03"
"73";"305800   ";"2011JJ00";"    1860";"   15.83";"    0.03"
"74";"305800   ";"2012JJ00";"    1970";"   15.40";"    0.03"
"75";"305800   ";"2013JJ00";"    1990";"   13.55";"    0.03"
"76";"305800   ";"2014JJ00";"    2040";"   13.99";"    0.03"
"77";"305800   ";"2015JJ00";"    1850";"   13.75";"    0.03"
"78";"305800   ";"2016JJ00";"    1650";"   12.26";"    0.03"
"79";"305800   ";"2017JJ00";"    1650";"   12.26";"    0.03"
"80";"320300   ";"1990JJ00";"   11040";"    1.13";"    0.05"
"81";"320300   ";"1995JJ00";"   11620";"    1.03";"    0.05"
"82";"320300   ";"2000JJ00";"   12400";"    0.90";"    0.04"
"83";"320300   ";"2001JJ00";"   12730";"    0.86";"    0.04"
"84";"320300   ";"2002JJ00";"   11720";"    0.87";"    0.03"
"85";"320300   ";"2003JJ00";"   12270";"    0.89";"    0.04"
"86";"320300   ";"2004JJ00";"   12220";"    0.94";"    0.04"
"87";"320300   ";"2005JJ00";"   12380";"    0.87";"    0.04"
"88";"320300   ";"2006JJ00";"   11590";"    0.84";"    0.04"
"89";"320300   ";"2007JJ00";"   11610";"    0.95";"    0.04"
"90";"320300   ";"2008JJ00";"   11820";"    0.84";"    0.04"
"91";"320300   ";"2009JJ00";"   10770";"    1.26";"    0.03"
"92";"320300   ";"2010JJ00";"   10630";"    1.03";"    0.02"
"93";"320300   ";"2011JJ00";"   10810";"    1.48";"    0.03"
"94";"320300   ";"2012JJ00";"   10510";"    1.31";"    0.03"
"95";"320300   ";"2013JJ00";"   10290";"    0.86";"    0.03"
"96";"320300   ";"2014JJ00";"   10660";"    0.87";"    0.03"
"97";"320300   ";"2015JJ00";"   11040";"    0.89";"    0.03"
"98";"320300   ";"2016JJ00";"   10590";"    0.91";"    0.03"
"99";"320300   ";"2017JJ00";"   10030";"    0.92";"    0.03"
"100";"346700   ";"1990JJ00";"   39810";"   18.37";"    0.38"
"101";"346700   ";"1995JJ00";"   47890";"   18.57";"    0.41"
"102";"346700   ";"2000JJ00";"   48430";"   18.41";"    0.38"
"103";"346700   ";"2001JJ00";"   51990";"   18.66";"    0.42"
"104";"346700   ";"2002JJ00";"   53010";"   20.46";"    0.44"
"105";"346700   ";"2003JJ00";"   53780";"   20.30";"    0.44"
"106";"346700   ";"2004JJ00";"   55040";"   20.90";"    0.45"
"107";"346700   ";"2005JJ00";"   52230";"   21.63";"    0.50"
"108";"346700   ";"2006JJ00";"   47980";"   20.81";"    0.46"
"109";"346700   ";"2007JJ00";"   50630";"   20.48";"    0.45"
"110";"346700   ";"2008JJ00";"   50000";"   20.46";"    0.43"
"111";"346700   ";"2009JJ00";"   49880";"   20.86";"    0.45"
"112";"346700   ";"2010JJ00";"   52000";"   21.51";"    0.46"
"113";"346700   ";"2011JJ00";"   47730";"   21.57";"    0.43"
"114";"346700   ";"2012JJ00";"   44760";"   19.61";"    0.46"
"115";"346700   ";"2013JJ00";"   44920";"   18.34";"    0.43"
"116";"346700   ";"2014JJ00";"   48510";"   16.82";"    0.46"
"117";"346700   ";"2015JJ00";"   53190";"   15.43";"    0.56"
"118";"346700   ";"2016JJ00";"   51950";"   15.14";"    0.52"
"119";"346700   ";"2017JJ00";"   48490";"   12.98";"    0.45"
"120";"800045   ";"1990JJ00";"   40930";"   18.42";"   23.01"
"121";"800045   ";"1995JJ00";"   35950";"   18.53";"   22.94"
"122";"800045   ";"2000JJ00";"   34150";"   19.28";"   22.13"
"123";"800045   ";"2001JJ00";"   33560";"   19.10";"   20.10"
"124";"800045   ";"2002JJ00";"   33890";"   20.68";"   19.22"
"125";"800045   ";"2003JJ00";"   34450";"   21.49";"   19.39"
"126";"800045   ";"2004JJ00";"   34210";"   19.49";"   21.29"
"127";"800045   ";"2005JJ00";"   33940";"   21.43";"   21.41"
"128";"800045   ";"2006JJ00";"   33940";"   20.86";"   21.25"
"129";"800045   ";"2007JJ00";"   34740";"   21.51";"   16.87"
"130";"800045   ";"2008JJ00";"   34010";"   20.03";"    4.67"
"131";"800045   ";"2009JJ00";"   31090";"   18.67";"    4.85"
"132";"800045   ";"2010JJ00";"   34280";"   20.42";"    3.92"
"133";"800045   ";"2011JJ00";"   33650";"   19.37";"    4.00"
"134";"800045   ";"2012JJ00";"   33230";"   19.97";"    3.96"
"135";"800045   ";"2013JJ00";"   32720";"   18.88";"    4.03"
"136";"800045   ";"2014JJ00";"   31900";"   19.24";"    4.23"
"137";"800045   ";"2015JJ00";"   32550";"   18.92";"    4.38"
"138";"800045   ";"2016JJ00";"   33530";"   20.14";"    3.55"
"139";"800045   ";"2017JJ00";"   35450";"   20.46";"    5.11"
"140";"320705   ";"1990JJ00";"   22080";"   16.67";"   22.95"
"141";"320705   ";"1995JJ00";"   17230";"   16.46";"   22.89"
"142";"320705   ";"2000JJ00";"   16470";"   16.89";"   22.08"
"143";"320705   ";"2001JJ00";"   15760";"   16.82";"   20.05"
"144";"320705   ";"2002JJ00";"   16120";"   18.52";"   19.16"
"145";"320705   ";"2003JJ00";"   16640";"   19.31";"   19.33"
"146";"320705   ";"2004JJ00";"   16520";"   17.38";"   21.23"
"147";"320705   ";"2005JJ00";"   16270";"   19.30";"   21.35"
"148";"320705   ";"2006JJ00";"   16880";"   18.78";"   21.18"
"149";"320705   ";"2007JJ00";"   17480";"   19.47";"   16.80"
"150";"320705   ";"2008JJ00";"   17140";"   17.92";"    4.58"
"151";"320705   ";"2009JJ00";"   16190";"   16.65";"    4.77"
"152";"320705   ";"2010JJ00";"   18190";"   18.42";"    3.83"
"153";"320705   ";"2011JJ00";"   17700";"   17.40";"    3.91"
"154";"320705   ";"2012JJ00";"   18150";"   18.12";"    3.87"
"155";"320705   ";"2013JJ00";"   17910";"   17.11";"    3.95"
"156";"320705   ";"2014JJ00";"   17560";"   17.44";"    4.15"
"157";"320705   ";"2015JJ00";"   17870";"   17.01";"    4.29"
"158";"320705   ";"2016JJ00";"   18580";"   18.30";"    3.46"
"159";"320705   ";"2017JJ00";"   19560";"   18.62";"    5.02"
"160";"328100   ";"1990JJ00";"    7550";"    0.42";"    0.03"
"161";"328100   ";"1995JJ00";"    7750";"    0.43";"    0.03"
"162";"328100   ";"2000JJ00";"    6360";"    0.35";"    0.02"
"163";"328100   ";"2001JJ00";"    6550";"    0.36";"    0.02"
"164";"328100   ";"2002JJ00";"    6700";"    0.35";"    0.03"
"165";"328100   ";"2003JJ00";"    7080";"    0.35";"    0.03"
"166";"328100   ";"2004JJ00";"    7250";"    0.35";"    0.03"
"167";"328100   ";"2005JJ00";"    7240";"    0.36";"    0.03"
"168";"328100   ";"2006JJ00";"    7060";"    0.34";"    0.03"
"169";"328100   ";"2007JJ00";"    7320";"    0.35";"    0.03"
"170";"328100   ";"2008JJ00";"    7320";"    0.34";"    0.03"
